"","X.3","X.2","X.1","X","org","start","movein","address","status","area","type","residences","women","men","ownership","members","residents","visitprocess","newMember","decisions","leader","leadergroup","fees","income_sharing","labor_req","member_debt","food_current","food_planned","food_local","meals_shared","meals_restrictions","meals_practices","alcohol","tobacco","religion","education","healthcare","source","lon","lat","geoAddress","no_meal_restrictions","vegan","vegetarian","organic","omnivorous","no_gmo","no_restrictions","raw","paleo","opportunivore","kosher"
"1",1,1,1,1,"(Enota) Mountain Retreat",1998,"2002","1000 Highway 180 Hiawassee, Georgia, 30546-5408 United States ","Established","60 acres","Ecovillage, Shared Housing (multiple individuals sharing a dwelling.), Spiritual or Religious Community or Organization, Volunteer~ Internship~ Apprenticeship~ or WWOOF’ing, Land Trust",29,"51-60%","41-49%","Community controlled land trust",14,"Non-member Residents: 20","Visitor Process: You can visit as a paying guest or through work exchange. Call us at 706-896-9966 or email [email protected] to discuss a date and time. For paying guest options or for work-exchange details, visit our website. We have several different ways to visit: cabins, retreat housing, bunkhouses, and RV and tent camping. Meals may be provided.
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: Members have completely independent finances","Required Labor Contribution per Week: 50","Open to members with existing debt: Yes (some debts)","Between 25-50%","Almost All, up to 90%","Almost All~ up to 90%","Approximately all meals","Somewhat important – there are some dietary restrictions or customs.","Omnivorous, Local, Organic, GMO Free, Vegetarian, Mostly Vegetarian, Vegan Only, Mostly Vegan, Raw or Mostly Raw","Alcohol Use: No~ this community does not permit alcohol use.","Tobacco Use: No~ this community does not permit tobacco use.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs)","Education Style(s): Public Schooling","Healthcare Options: Up to each individual","https://www.ic.org/directory/enota-mountain-village/",-83.770258,34.837864,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"2",2,2,2,2,"1A Jesus Disciple Lifers",2016,"2016","115 D Corral st Santa Cruz, California, 95060 United States ","Forming","No Info","Spiritual or Religious Community",1,"50%","50%","The entire community membership",1,"No Info","Visitor Process: Please contact by the ic email system if you would like to visit or if you are interested in The Life of The Way. We do not take thrill riders or only interested partially or partly dedicated disciples (as to prevent dissention or the ravaging of our members by wolves in sheeps clothing). There are no half prizes for half disciples, for Jesus gave His all and called Us to be like Him, laying down our lives for Him to prove that we love Him. You may find out if we are for real before going out on a limb, though, that is if you don’t believe for what we say but also need to believe for what we do, which is necessary for some as that there are false brothers about whom say,, but do not do as they say(these were called pharisees in Jesus’ day). but this lamp shines on a hill, not under a bushel, so think only that we are to confess Him as Lord and welcome all praise to His Name and trying of our ways because we confess Him in our words and deeds. We would that All come to us, for the life He gives Us is GOOD and we want to share it with you!
","Yes","Decision Making: Literally as The bible teaches The Lord said, we do, if we may, and all other decisions are made by individual people","Identified Leader: Yes","Leadership Core Group: No","Dues, Fees, or Shared Expenses: No","Shared Income: All or close to all","No Info","Open to members with existing debt: Yes","0%, or close to 0%","100%","100%","Approximately all meals","No – people may eat however they wish.","Omnivorous ","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Christian, Jewish, True Christianity, True Judaism, (aka each other) if The Lord would say so, as we think He would.","Education Style(s): Home Schooling, Private Schooling at the Community","Healthcare Options: Community Plan, Partial, Special, or Limited Community Plan, Up to each family or individual","https://www.ic.org/directory/1a-jesus-disciple-lifers/",-122.0305928,36.9849098,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",3,3,3,3,"1st Amazon Ecovillage | Guayana Peace Trail Project",2005,"2013","Km 24 Via Gavilan Ekobius, Amazonas, 7101 Venezuela ","Established","10000 acres","Commune, Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving, Spiritual or Religious Community",42,"31-40%","51-60%","The entire community membership",13,"Non-member Residents: 2","Visitor Process: Those who visit the community must be vetted and qualified as individuals of open consciousness that are non-discriminatory and willing to understand the indigenous people that live with us and nearby. All visitors must arrange their visit in advance and cover expenses of a chaperon (one of our members).
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: All or close to all","Required Labor Contribution per Week: 20","Open to members with existing debt: Yes","Between 26-49%","Almost All, around 90%","100%","Approximately all meals","No Info","Omnivorous, Local, Organic, GMO Free, Mostly Vegetarian, Opportunivore, Indigenous","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), Not a particularly spiritual or religious community, Quaker, Native American, Paganism or Earth Religions, Hare Krishna, Atheist, Agnostic","Education Style(s): Home Schooling, Public Schooling","Healthcare Options: Community Plan, Partial, Special, or Limited Community Plan, Up to each family or individual","https://www.ic.org/directory/1st-intl-model-life-change-ecovillage-and-pioneer-settlement-project/",-67.4999234,5.5751245,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"4",4,4,4,4,"2BD Termined",2010,"2016","2812 Pine Dr. Columbia, Missouri, 65202 United States ","Forming","100 acres","Commune, Spiritual or Religious Community",2,"No Info","100%","The Community",2,"No Info","No Info","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","Between 26-49%","100%","Almost All, around 90%","Rarely","Yes – we all share a common diet.","Local, Organic, GMO Free, Vegetarian Only, Mostly Vegan","Alcohol Use: No, this community does not permit alcohol use.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Faithist","Education Style(s): Private Schooling at the Community","No Info","https://www.ic.org/directory/2bd-termined/",-92.2955,38.989322,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"5",5,5,5,5,"2nd Chance – New Beginnings",2010,"2016","5368 Brownway St. Houston, Texas, 77056 United States ","Forming","No Info","Commune, Ecovillage, Unspecified, or Other",0,"50%","50%","Other",7,"No Info","Visitor Process: Call or email to contact…
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","0%, or close to 0%","100%","0%, or close to 0%","Rarely","Yes – we all share a common diet.","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), Native American","Education Style(s): Home Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/2nd-chance-new-beginnings/",-95.469148,29.741091,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"6",6,6,6,6,"40th Avenue Cohousing",2002,"2003","550 E 40th Ave Eugene, Oregon, 97405 United States ","Established","0.3 acres","Shared Housing, Cohouseholding, or Coliving ",2,"50%","50%","A subgroup of community members",6,"No Info","No Info","Waiting List","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: None","Required Labor Contribution per Week: 1","Open to members with existing debt: Yes (some debt)","Up to 25%","Up to 25%","Up to 25%","1-3 times per month","No – people may eat however they wish.","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used occasionally.","Common Spiritual Practice(s): Eclectic (integrates pieces from many religions)","Education Style(s): Public Schooling","No Info","https://www.ic.org/directory/40th-avenue-cohousing/",-123.084038,44.0109447,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"7",7,7,7,7,"5D Collective",2013,"No Info","Rural Pine Hill, New Mexico, 87321 United States ","Re-forming","30 acres","Spiritual or Religious Community or Organization",2,"No Info","No Info","A subgroup of community members",2,"No Info","No Info","Yes","Decision Making: Voting (majority or super-majority rule)","Identified Leader: Yes","Leadership Core Group: Yes","No Info","Shared Income: Members have completely independent finances","Required Labor Contribution per Week: 0","No Info","From 50-75%","No Info","No Info","No Info","Not at all important – people may eat however they individually choose.","Omnivorous ","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Other","No Info","No Info","https://www.ic.org/directory/5th-dimensional-collective/",-106.6839161,35.184333,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",8,8,8,8,"8thLife Panama EcoVillage / Collaborative Work-Life Initiative",2012,"2017","Avenida Tercera, Edificio Villa Astoria Antón,  Panama ","Forming","21 hectares","Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving ",67,"No Info","No Info","Currently held by the founder, to be transferred to the community via an appropriate structure. ",3,"No Info","Visitor Process: Please visit our website http://8thLifePanama.org and click on the ‘Visiting Us’ tab http://www.8thlifepanama.org/when. Visit options are listed there.
","Yes","Decision Making: Distributed leadership & Meritocracy,","Identified Leader: Yes","No Info","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes (some debt)","No Info","Almost All, around 90%","No Info","Approximately all dinners","No – people may eat however they wish.","Omnivorous, Paleo, Local, Organic, GMO Free, Mostly Vegetarian, Mostly Vegan, Raw or Mostly Raw, Kosher, Halal, Dairy-Free, Gluten-Free, We aim to craft a healthy human diet from what this land can offer us sustainably, and also learn how to make edible and palatable whatever is abundant locally","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), We are happy to embrace different spiritual beliefs as long as these promote peace, tolerance of differences, and help us to leave the world a better place.","Education Style(s): Home Schooling, Private School off the property, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/8thlife-panama-ecovillage-collaborative-work-life-initiative/",-80.2627052,8.3949126,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"9",9,9,9,9,"A Fairer Society Sussex and Kent",2017,"2019","  85 Leach Court Park Street Brighton and Hove, BN2 0DJ United Kingdom ","Forming","No Info","Ecovillage, Cohousing ",0,"No Info","No Info","The entire community membership",30,"No Info","No Info","Yes","Decision Making: Sociocracy","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","No Info","Open to members with existing debt: Yes","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","https://www.ic.org/directory/a-fairer-society-sussex-and-kent/",-0.1263783,50.8216499,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"10",10,10,10,10,"A__ Rogue River Eco Village Destination Resort",2014,"2018","Central Point & Gold Hill at Rogue River in Southern OR Central Point, Oregon, 97502 United States ","Forming","No Info","Ecovillage, Cohousing, Traditional or Indigenous Community",1,"No Info","No Info","Individual community member(s)",650,"No Info","Visitor Process: Please go to our website– www.RogueRiverEcoVillage.com and sign up for our newsletter. You can also email or phone us and we can discuss your interests, schedule and availability.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: None","No Info","No Info","100%","100%","100%","No Info","No Info","Omnivorous, Organic, GMO Free ","No Info","No Info","No Info","No Info","No Info","https://www.ic.org/directory/rogue-river-eco-village-destination-resort/",-122.9164307,42.3759586,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
